algo,model,payoff,drift,volatility,mean,speed,correlation,hurst,nb_stocks,nb_paths,nb_dates,spot,strike,dividend,maturity,nb_epochs,hidden_size,factors,ridge_coeff,use_payoff_as_input,train_ITM_only,use_path,price,duration,time_path_gen,comp_time,delta,gamma,theta,rho,vega,greeks_method,price_upper_bound
NLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,100,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,58.568650176868964,11.532753467559814,1.7213172912597656,9.811436176300049,,,,,,central,

NLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,100,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,59.019996850753785,6.788607120513916,1.5442991256713867,5.244307994842529,,,,,,central,

NLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,500,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,75.87314435790063,23.53433895111084,12.455921411514282,11.078417539596558,,,,,,central,

NLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,500,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,75.42536959097613,20.240524291992188,8.919521570205688,11.321002721786499,,,,,,central,

NLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,1000,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,83.03197965478192,76.79332852363586,34.92652177810669,41.866806745529175,,,,,,central,

NLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,1000,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,82.97165826655319,51.23853826522827,32.59790658950806,18.640631675720215,,,,,,central,

RFQI,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,100,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,62.48736274729343,3.2924633026123047,1.6635785102844238,1.6288847923278809,,,,,,central,

RFQI,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,100,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,62.14853285861225,2.999565362930298,1.4289183616638184,1.5706470012664795,,,,,,central,

RFQI,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,500,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,80.45633708139815,10.161482334136963,8.224817037582397,1.9366652965545654,,,,,,central,

RFQI,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,500,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,80.32772524131259,9.305564403533936,7.532121658325195,1.7734427452087402,,,,,,central,

RFQI,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,1000,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,87.8200053195559,33.973981618881226,31.141880750656128,2.8321008682250977,,,,,,central,

RFQI,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,1000,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,87.68349827595078,40.322787046432495,37.17492318153381,3.1478638648986816,,,,,,central,

RLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,100,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,60.71702672154799,2.0699219703674316,1.6989288330078125,0.37099313735961914,,,,,,central,

RLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,100,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,60.432158791584705,1.9375152587890625,1.5964691638946533,0.3410460948944092,,,,,,central,

RLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,500,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,78.58407891496473,22.02478265762329,18.656468868255615,3.368313789367676,,,,,,central,

