algorithm,num_dim,1,2,3,4,5,6,7,8,9,10
NLSM,100,0,0,0,3,3,40,81,186,2042,2645
NLSM,100,0,0,0,3,13,40,66,248,2103,2527
NLSM,100,0,0,3,7,30,64,132,228,2207,2329
NLSM,100,0,0,1,6,20,42,131,190,2079,2531
NLSM,100,0,0,0,9,19,55,148,200,2055,2514
NLSM,100,0,0,1,7,19,53,100,211,2264,2345
NLSM,100,0,0,2,5,24,67,131,195,2150,2426
NLSM,100,0,0,0,5,20,53,117,233,2068,2504
NLSM,100,0,0,1,5,21,64,113,249,2094,2453
NLSM,100,0,0,1,6,24,51,69,230,2105,2514
NLSM,100,0,0,1,7,39,76,118,256,2200,2303
NLSM,100,0,0,1,9,37,70,146,258,2039,2440
NLSM,100,0,1,5,21,49,85,103,241,2056,2439
NLSM,100,0,0,3,14,37,74,111,296,2235,2230
NLSM,100,0,0,2,4,26,55,131,237,2027,2518
NLSM,100,0,0,1,6,25,64,130,378,1922,2474
NLSM,100,0,0,1,12,38,87,142,244,2063,2413
NLSM,100,0,0,3,11,50,74,102,221,2204,2335
NLSM,100,0,0,1,12,33,74,115,214,2255,2296
NLSM,100,0,0,0,5,18,64,129,257,2041,2486
NLSM,500,0,0,0,0,9,45,81,190,1940,2735
NLSM,500,0,0,0,1,16,33,78,196,2015,2661
NLSM,500,0,0,0,4,16,45,79,170,2182,2504
NLSM,500,0,0,1,7,41,69,92,238,2101,2451
NLSM,500,0,0,2,11,37,71,122,171,2151,2435
NLSM,500,0,0,4,11,31,73,121,159,2256,2345
NLSM,500,0,0,3,10,22,71,85,285,2119,2405
NLSM,500,0,0,1,12,17,55,60,198,2136,2521
NLSM,500,0,0,0,2,19,50,96,193,2005,2635
NLSM,500,0,0,0,1,27,42,94,196,2078,2562
NLSM,500,0,0,0,0,12,33,83,241,2222,2409
NLSM,500,0,0,0,7,25,78,121,184,1995,2590
NLSM,500,0,0,0,6,28,60,104,198,2117,2487
NLSM,500,0,0,1,0,11,50,76,201,1912,2749
