algo,model,payoff,drift,volatility,mean,speed,correlation,hurst,nb_stocks,nb_paths,nb_dates,spot,strike,dividend,maturity,nb_epochs,hidden_size,factors,ridge_coeff,use_payoff_as_input,train_ITM_only,use_path,price,duration,time_path_gen,comp_time,delta,gamma,theta,rho,vega,greeks_method,rate,alpha,sigma,beta,lam,x0,y0,dist_par,f_level,f_amp,f_period,price_upper_bound
RLSM,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,5,10000,10,100,80,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,208.85334154283856,2.9937872886657715,2.869828462600708,0.12395882606506348,,,,,,central,0.0,7.0,1.4,200.0,4.0,0.0,0.0,0.4,100.0,0.5,1.0,

RLSM,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,5,10000,10,100,120,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,167.72309476233423,3.038224697113037,2.9777708053588867,0.06045389175415039,,,,,,central,0.0,7.0,1.4,200.0,4.0,0.0,0.0,0.4,100.0,0.5,1.0,

RLSM,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,10,10000,10,100,80,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,252.14802420064896,6.056863307952881,5.977458953857422,0.07940435409545898,,,,,,central,0.0,7.0,1.4,200.0,4.0,0.0,0.0,0.4,100.0,0.5,1.0,

RLSM,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,10,10000,10,100,120,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,214.59170575615573,5.4400341510772705,5.372041463851929,0.0679926872253418,,,,,,central,0.0,7.0,1.4,200.0,4.0,0.0,0.0,0.4,100.0,0.5,1.0,

RLSM,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,50,10000,10,100,80,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,367.03809148608036,27.55496335029602,27.34261465072632,0.21234869956970215,,,,,,central,0.0,7.0,1.4,200.0,4.0,0.0,0.0,0.4,100.0,0.5,1.0,

RLSM,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,50,10000,10,100,120,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,328.1838956511912,22.822952032089233,22.673029899597168,0.14992213249206543,,,,,,central,0.0,7.0,1.4,200.0,4.0,0.0,0.0,0.4,100.0,0.5,1.0,

LSM,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,5,10000,10,100,80,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,211.3894836001738,2.5935537815093994,2.3104753494262695,0.2830784320831299,,,,,,central,0.0,7.0,1.4,200.0,4.0,0.0,0.0,0.4,100.0,0.5,1.0,

LSM,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,5,10000,10,100,120,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,170.0356002758538,2.435798406600952,2.232058048248291,0.20374035835266113,,,,,,central,0.0,7.0,1.4,200.0,4.0,0.0,0.0,0.4,100.0,0.5,1.0,

LSM,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,10,10000,10,100,80,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,248.7997493185254,6.22566032409668,4.514765024185181,1.710895299911499,,,,,,central,0.0,7.0,1.4,200.0,4.0,0.0,0.0,0.4,100.0,0.5,1.0,

LSM,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,10,10000,10,100,120,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,206.2835430150952,5.890932083129883,4.483581304550171,1.407350778579712,,,,,,central,0.0,7.0,1.4,200.0,4.0,0.0,0.0,0.4,100.0,0.5,1.0,

LSM,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,50,10000,10,100,80,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,204.92664604185018,485.0762619972229,22.60845947265625,462.46780252456665,,,,,,central,0.0,7.0,1.4,200.0,4.0,0.0,0.0,0.4,100.0,0.5,1.0,

LSM,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,50,10000,10,100,120,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,165.62104245430984,481.85057044029236,31.243306159973145,450.6072642803192,,,,,,central,0.0,7.0,1.4,200.0,4.0,0.0,0.0,0.4,100.0,0.5,1.0,

FQI,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,5,10000,10,100,80,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,205.5226096794082,8.496341705322266,3.068782329559326,5.4275593757629395,,,,,,central,0.0,7.0,1.4,200.0,4.0,0.0,0.0,0.4,100.0,0.5,1.0,

FQI,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,5,10000,10,100,120,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,165.22732904128912,7.763596773147583,2.976374387741089,4.787222385406494,,,,,,central,0.0,7.0,1.4,200.0,4.0,0.0,0.0,0.4,100.0,0.5,1.0,

FQI,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,10,10000,10,100,80,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,243.36947396501378,29.83273220062256,6.5415215492248535,23.291210651397705,,,,,,central,0.0,7.0,1.4,200.0,4.0,0.0,0.0,0.4,100.0,0.5,1.0,

FQI,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,10,10000,10,100,120,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,207.45311858629466,27.032410621643066,6.685037851333618,20.34737277030945,,,,,,central,0.0,7.0,1.4,200.0,4.0,0.0,0.0,0.4,100.0,0.5,1.0,

FQI,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,50,10000,10,100,80,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,354.73945287849637,1265.3106956481934,32.548187255859375,1232.762508392334,,,,,,central,0.0,7.0,1.4,200.0,4.0,0.0,0.0,0.4,100.0,0.5,1.0,

FQI,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,50,10000,10,100,120,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,314.730889742113,1164.0409553050995,29.473002910614014,1134.5679523944855,,,,,,central,0.0,7.0,1.4,200.0,4.0,0.0,0.0,0.4,100.0,0.5,1.0,

RFQI,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,5,10000,10,100,80,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,202.71427597344723,4.013456106185913,2.9197003841400146,1.0937557220458984,,,,,,central,0.0,7.0,1.4,200.0,4.0,0.0,0.0,0.4,100.0,0.5,1.0,

RFQI,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,5,10000,10,100,120,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,147.29939071348795,3.8562963008880615,2.8903770446777344,0.9659192562103271,,,,,,central,0.0,7.0,1.4,200.0,4.0,0.0,0.0,0.4,100.0,0.5,1.0,

RFQI,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,10,10000,10,100,80,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,247.3038886981182,6.745334148406982,5.806351661682129,0.9389824867248535,,,,,,central,0.0,7.0,1.4,200.0,4.0,0.0,0.0,0.4,100.0,0.5,1.0,

RFQI,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,10,10000,10,100,120,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,207.2349652154995,6.8986217975616455,5.947828054428101,0.9507937431335449,,,,,,central,0.0,7.0,1.4,200.0,4.0,0.0,0.0,0.4,100.0,0.5,1.0,

RFQI,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,50,10000,10,100,80,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,361.1993659588365,30.125304460525513,29.050006866455078,1.0752975940704346,,,,,,central,0.0,7.0,1.4,200.0,4.0,0.0,0.0,0.4,100.0,0.5,1.0,

