algorithm,num_dim,model_name,strike,spot,1,2,3,4,5,6,7,8,9,10
RLSM,5,ElectricityMarketModel,80,100,429,155,21,4,4,9,20,102,1157,3099
RLSM,5,ElectricityMarketModel,120,100,470,147,27,3,1,1,17,113,1133,3088
RLSM,10,ElectricityMarketModel,80,100,345,125,22,5,4,3,16,126,1189,3165
RLSM,10,ElectricityMarketModel,120,100,358,121,24,3,6,7,26,119,1162,3174
RLSM,50,ElectricityMarketModel,80,100,229,113,28,16,16,11,33,121,1119,3314
RLSM,50,ElectricityMarketModel,120,100,232,113,29,12,8,11,35,130,1083,3347
LSM,5,ElectricityMarketModel,80,100,457,162,25,7,7,5,28,138,1077,3094
LSM,5,ElectricityMarketModel,120,100,427,159,35,10,8,5,21,100,1190,3045
LSM,10,ElectricityMarketModel,80,100,344,177,52,15,13,15,45,168,1146,3025
LSM,10,ElectricityMarketModel,120,100,362,161,29,21,11,33,28,156,1182,3017
LSM,50,ElectricityMarketModel,80,100,26,44,70,110,235,343,668,1141,2336,27
LSM,50,ElectricityMarketModel,120,100,44,69,85,117,152,291,613,1246,2348,35
FQI,5,ElectricityMarketModel,80,100,177,54,13,0,5,3,18,86,339,4305
FQI,5,ElectricityMarketModel,120,100,179,65,17,8,6,7,14,89,337,4278
FQI,10,ElectricityMarketModel,80,100,129,47,12,5,4,9,15,60,266,4453
FQI,10,ElectricityMarketModel,120,100,141,60,21,8,3,7,14,72,284,4390
FQI,50,ElectricityMarketModel,80,100,93,44,22,11,5,12,19,69,182,4543
FQI,50,ElectricityMarketModel,120,100,99,60,21,16,7,13,18,46,135,4585
RFQI,5,ElectricityMarketModel,80,100,138,42,8,2,1,8,13,58,284,4446
RFQI,5,ElectricityMarketModel,120,100,1,0,1,0,0,0,0,1,0,4997
RFQI,10,ElectricityMarketModel,80,100,168,63,9,15,5,4,14,73,330,4319
RFQI,10,ElectricityMarketModel,120,100,146,69,10,4,5,9,19,75,308,4355
RFQI,50,ElectricityMarketModel,80,100,126,69,12,13,7,5,35,75,232,4426
RFQI,50,ElectricityMarketModel,120,100,135,72,31,8,12,14,23,66,196,4443
NLSM,5,ElectricityMarketModel,80,100,0,0,0,0,0,0,0,0,5000,0
NLSM,5,ElectricityMarketModel,120,100,0,0,1,0,1,0,3,4,4991,0
NLSM,10,ElectricityMarketModel,80,100,0,0,0,0,0,0,0,0,5000,0
NLSM,10,ElectricityMarketModel,120,100,0,0,0,0,0,0,0,0,5000,0
NLSM,50,ElectricityMarketModel,80,100,0,0,0,0,0,0,0,0,5000,0
NLSM,50,ElectricityMarketModel,120,100,0,0,0,0,0,0,0,0,5000,0
