algo,model,payoff,drift,volatility,mean,speed,correlation,hurst,nb_stocks,nb_paths,nb_dates,spot,strike,dividend,maturity,nb_epochs,hidden_size,factors,ridge_coeff,use_payoff_as_input,train_ITM_only,use_path,use_var,price,duration,time_path_gen,comp_time,delta,gamma,theta,rho,vega,greeks_method,rate,alpha,sigma,beta,lam,x0,y0,dist_par,f_level,f_amp,f_period,num_swings,exercise_dates,price_upper_bound
SwingLSM,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,10,100,1.0,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,False,511.33873925604735,0.9595487117767334,0.8740184307098389,0.08553028106689453,,,,,,central,0.02,7.0,1.4,200.0,4.0,0.0,0.0,0.4,100.0,0.5,1.0,3,,

SwingLSM,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,10,100,1.0,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,False,512.490195145609,0.8767526149749756,0.7992684841156006,0.077484130859375,,,,,,central,0.02,7.0,1.4,200.0,4.0,0.0,0.0,0.4,100.0,0.5,1.0,3,,

SwingLSM,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,10,100,1.0,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,False,513.0537922497869,0.8699209690093994,0.7917726039886475,0.07814836502075195,,,,,,central,0.02,7.0,1.4,200.0,4.0,0.0,0.0,0.4,100.0,0.5,1.0,3,,

SwingLSM,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,10,100,1.0,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,False,511.95906212643877,0.866262674331665,0.7923295497894287,0.07393312454223633,,,,,,central,0.02,7.0,1.4,200.0,4.0,0.0,0.0,0.4,100.0,0.5,1.0,3,,

SwingLSM,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,10,100,1.0,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,False,514.9994627212579,0.8651614189147949,0.78989577293396,0.07526564598083496,,,,,,central,0.02,7.0,1.4,200.0,4.0,0.0,0.0,0.4,100.0,0.5,1.0,3,,

SwingRLSM,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,10,100,1.0,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,False,511.3799361115765,1.3386766910552979,0.8440592288970947,0.4946174621582031,,,,,,central,0.02,7.0,1.4,200.0,4.0,0.0,0.0,0.4,100.0,0.5,1.0,3,,

SwingRLSM,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,10,100,1.0,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,False,512.7974074735735,1.398104190826416,0.9126236438751221,0.48548054695129395,,,,,,central,0.02,7.0,1.4,200.0,4.0,0.0,0.0,0.4,100.0,0.5,1.0,3,,

SwingRLSM,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,10,100,1.0,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,False,512.976084562717,1.3173189163208008,0.854053258895874,0.46326565742492676,,,,,,central,0.02,7.0,1.4,200.0,4.0,0.0,0.0,0.4,100.0,0.5,1.0,3,,

SwingRLSM,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,10,100,1.0,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,False,512.0452980037362,1.2966296672821045,0.8467774391174316,0.44985222816467285,,,,,,central,0.02,7.0,1.4,200.0,4.0,0.0,0.0,0.4,100.0,0.5,1.0,3,,

SwingRLSM,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,10,100,1.0,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,False,511.58230756119025,1.4002537727355957,0.8731122016906738,0.5271415710449219,,,,,,central,0.02,7.0,1.4,200.0,4.0,0.0,0.0,0.4,100.0,0.5,1.0,3,,

