algorithm,num_dim,model_name,strike,spot,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365
SwingLSM,1,ElectricityMarketModel,1.0,100,63,147,363,623,852,954,1059,1132,1254,1424,1477,1544,1642,1756,1650,1714,1711,1665,1728,1677,1708,1686,1574,1623,1549,1523,1382,1468,1418,1317,1238,1188,1198,1374,1281,1126,1122,1032,1017,996,960,1046,1027,906,858,927,849,744,804,720,677,618,602,571,597,613,616,580,529,481,479,457,453,433,429,386,368,370,349,343,299,290,296,293,289,264,265,259,238,249,217,222,207,199,187,185,167,180,157,154,123,133,131,123,113,105,89,104,97,95,93,80,87,74,72,74,63,66,64,61,54,63,50,49,41,37,38,49,34,32,36,31,29,28,28,29,34,26,24,25,32,20,24,19,19,13,19,19,19,15,18,16,15,17,11,14,19,18,13,11,15,12,10,7,14,11,10,7,10,10,9,9,9,9,10,7,6,10,11,8,6,10,6,11,4,11,4,14,7,9,8,12,7,8,7,10,11,9,12,6,4,8,10,7,4,13,8,7,7,4,5,5,2,3,6,4,4,9,13,10,10,7,12,10,15,10,11,6,16,17,13,14,14,12,10,13,21,15,17,14,16,15,21,13,7,12,16,15,20,15,25,27,25,24,29,31,24,29,32,44,43,35,46,52,42,38,39,51,53,47,46,54,65,54,66,74,77,72,80,78,81,80,71,75,64,79,97,91,97,96,98,117,96,108,112,130,125,111,111,138,143,145,169,183,184,188,206,221,251,249,250,251,290,281,305,319,351,315,341,353,319,375,384,410,411,441,473,472,445,452,471,490,558,546,551,715,624,604,614,656,671,1086,922,682,699,689,727,751,1099,990,1040,945,1120,1238,1868,1992,3002,3292,2937,3878,3682,3672,3788,4166,4634,4332,4526,4849,4924,5300,5315,5548,5812,6157,6777
SwingLSM,1,ElectricityMarketModel,1.0,100,53,266,522,762,930,1174,1232,1352,1456,1468,1596,1608,1698,1714,1735,1803,1849,1717,1910,1905,1775,1847,1739,1661,1750,1576,1573,1497,1526,1387,1324,1267,1278,1258,1124,1085,1069,1029,1092,981,981,897,868,891,796,851,828,815,728,732,702,732,690,620,583,579,550,580,547,563,543,451,437,429,432,409,401,377,364,339,306,324,296,304,285,277,254,231,210,172,176,162,183,186,176,167,152,144,144,136,157,134,133,125,108,116,101,111,90,86,87,81,71,73,81,75,77,62,61,57,63,59,66,43,42,29,39,43,43,41,44,35,32,32,35,24,25,26,23,25,28,13,21,18,20,19,22,27,20,20,18,23,23,24,18,19,20,21,18,16,19,15,16,10,25,16,18,12,13,17,13,16,11,11,15,11,9,11,14,10,6,13,13,20,15,16,13,12,11,13,10,10,9,4,12,13,12,5,6,9,13,14,9,10,8,14,6,8,8,5,7,8,10,7,12,9,8,12,13,7,10,12,6,4,8,9,6,6,12,17,20,25,24,11,21,37,33,32,22,35,24,17,15,10,24,21,21,24,23,22,27,19,21,27,31,41,31,32,24,28,38,42,34,32,35,35,28,41,37,30,52,58,49,60,63,61,55,67,56,65,72,86,96,80,88,100,82,96,98,95,87,87,112,124,117,134,124,155,177,165,177,179,173,161,178,184,190,147,180,202,204,233,209,217,266,255,253,264,273,308,341,347,342,385,398,400,414,460,454,506,500,528,573,558,564,642,655,715,700,700,832,852,762,906,898,1267,1178,847,1398,1033,1084,1139,1032,1261,1266,2112,2708,2673,3123,3261,3406,3708,3747,4191,4191,4635,4169,4400,4699,4961,5156,5425,5599,5864,6494
SwingLSM,1,ElectricityMarketModel,1.0,100,61,251,497,705,861,1086,1190,1308,1401,1488,1500,1544,1606,1570,1675,1692,1633,1661,1662,1644,1682,1677,1591,1590,1569,1554,1495,1551,1558,1500,1494,1339,1365,1260,1230,1203,1333,1119,1210,1002,1097,1069,1011,1021,864,989,817,843,692,710,699,688,652,592,587,576,587,525,542,472,507,489,467,446,423,420,404,389,352,304,300,301,284,302,286,266,244,268,253,242,205,228,219,223,208,193,197,204,172,156,153,143,96,116,110,90,98,90,74,86,80,68,79,71,61,60,65,72,74,66,50,69,70,56,66,64,60,52,40,53,48,37,38,43,35,35,31,36,32,19,20,20,18,26,24,24,18,19,19,16,18,15,16,15,12,11,8,11,14,16,17,10,14,14,17,18,14,13,11,7,8,6,11,5,11,9,12,13,9,14,12,7,7,6,7,9,12,11,8,2,7,8,11,7,0,7,10,8,7,11,10,9,7,3,7,6,6,5,7,8,6,4,7,8,12,9,12,8,5,5,14,12,15,10,14,12,10,16,8,10,10,11,16,8,12,10,9,16,11,12,13,26,13,14,15,14,17,19,27,19,24,29,32,24,30,21,21,32,32,31,39,31,27,29,45,43,39,52,49,50,55,50,52,60,59,73,66,76,95,78,86,75,78,87,100,114,90,111,115,105,123,108,125,134,124,166,172,174,180,202,216,190,167,189,226,188,211,246,278,246,261,255,270,274,250,272,297,295,362,344,318,316,341,339,340,374,365,412,453,443,454,440,430,456,539,523,534,578,564,825,613,624,652,847,678,818,829,848,1135,983,1138,1077,1132,1272,1509,2285,2623,2909,3324,3361,3658,4455,3898,4030,4033,4199,4481,4673,4749,5068,5306,5323,5700,5982,6579
SwingLSM,1,ElectricityMarketModel,1.0,100,74,240,531,789,896,1035,1211,1337,1380,1418,1497,1534,1635,1791,1786,1877,1791,1764,1829,1760,1828,1796,1893,1844,1670,1663,1639,1472,1516,1450,1319,1278,1320,1252,1203,1130,1121,981,980,968,951,928,859,860,854,788,799,795,718,702,747,667,635,627,627,603,575,537,552,491,477,482,428,438,395,402,389,366,365,371,356,328,286,299,291,270,241,227,234,215,199,211,219,205,199,188,174,166,148,132,129,129,134,116,122,100,98,93,86,82,93,92,77,70,63,70,83,63,66,64,59,51,54,56,40,31,29,32,27,31,37,21,29,28,29,36,36,38,24,28,28,30,32,27,38,22,22,13,13,19,21,18,17,13,12,8,6,21,16,17,13,18,14,15,6,6,7,6,15,15,10,13,15,12,11,8,11,6,8,8,12,9,8,8,8,8,5,14,17,15,7,15,7,19,13,13,5,5,11,13,9,3,4,3,10,13,2,5,8,10,10,14,9,11,10,9,11,9,12,10,13,12,15,12,12,13,16,11,18,17,18,17,7,14,11,17,19,21,26,31,24,18,19,19,24,16,13,21,27,17,20,25,25,22,29,18,28,28,43,39,27,38,39,28,27,33,41,48,51,33,34,60,53,38,57,47,62,67,62,67,70,57,71,72,66,89,62,92,84,110,114,122,106,122,134,140,180,177,145,138,160,167,174,206,203,216,235,248,253,248,279,275,275,288,292,310,324,339,366,372,368,371,379,432,413,439,441,440,496,442,464,497,512,569,607,600,596,618,687,646,644,690,661,783,781,855,909,886,844,890,973,1097,1164,1171,1143,2172,2643,2794,2979,3398,3650,3768,3941,3966,4221,4232,4432,5044,4811,5283,5266,5371,5752,6076,6551
SwingLSM,1,ElectricityMarketModel,1.0,100,75,278,447,635,819,946,1068,1207,1298,1408,1508,1419,1548,1553,1548,1715,1724,1778,1739,1758,1694,1697,1710,1703,1768,1693,1639,1511,1467,1389,1334,1376,1431,1350,1127,1139,1124,1098,1015,1035,914,960,914,873,823,749,787,748,724,676,754,702,689,627,590,600,525,541,543,541,483,471,459,428,433,426,408,377,397,364,341,319,275,293,275,278,239,235,217,206,190,195,193,197,172,178,184,175,165,144,147,148,151,142,133,120,129,109,119,94,96,97,73,78,70,61,71,78,67,75,72,60,53,61,74,57,48,45,46,42,44,32,39,40,36,32,30,32,30,33,22,34,26,25,32,32,24,20,16,19,20,22,21,19,20,16,20,18,12,14,20,14,19,14,13,14,15,19,12,14,12,13,9,18,17,13,14,8,9,10,10,10,12,12,9,12,10,9,11,5,8,10,7,9,14,9,7,7,10,9,11,9,14,9,7,17,12,9,13,15,8,22,22,15,12,6,8,10,11,10,10,9,13,6,12,20,11,12,16,17,17,19,29,21,17,16,27,14,16,17,17,20,19,26,30,31,24,26,31,27,24,35,33,26,38,30,29,35,42,26,24,36,32,29,37,36,36,35,34,42,49,40,46,47,43,57,46,68,60,69,76,74,60,73,72,75,80,91,107,104,114,109,109,121,120,111,124,149,146,143,140,161,159,192,207,221,221,199,196,210,212,192,238,242,265,279,275,286,302,303,319,346,362,366,354,371,426,372,395,408,458,469,481,475,551,591,619,657,680,736,753,806,862,864,839,1042,991,976,1025,1058,981,1498,1167,1072,1204,2274,2892,3289,3132,3694,3308,4298,3713,4296,4044,4407,4501,5008,4671,4851,5171,5434,5659,5994,6607
SwingRLSM,1,ElectricityMarketModel,1.0,100,106,389,557,863,875,1004,1172,1300,1349,1573,1502,1579,1678,1716,1716,1797,1800,1943,1968,1863,1742,1801,1711,1782,1571,1648,1507,1560,1439,1468,1450,1477,1327,1238,1253,1208,1202,1151,1198,996,1160,1043,1015,966,917,887,824,846,756,689,690,623,648,616,601,552,555,502,526,456,431,421,388,393,372,376,332,297,336,332,294,286,253,256,214,238,228,239,244,251,207,170,190,177,158,165,137,129,137,146,121,101,94,85,85,98,102,95,98,88,73,75,79,79,69,83,84,78,62,80,63,60,51,52,46,42,45,54,44,41,41,34,33,39,33,37,25,33,32,26,25,20,29,31,27,36,27,21,11,9,21,13,19,15,16,29,17,17,13,9,15,17,21,19,22,19,14,12,20,14,13,11,11,10,10,13,24,20,12,14,16,14,15,17,11,12,11,13,14,15,12,12,11,13,17,15,15,13,10,14,11,12,13,10,16,18,10,12,12,6,7,13,10,6,19,15,9,10,11,13,21,17,15,12,8,15,15,12,14,14,16,18,15,9,7,7,13,6,17,13,16,18,28,30,22,23,12,12,15,19,19,27,41,37,30,41,33,40,28,24,39,30,32,25,28,45,54,40,35,40,46,35,35,50,54,56,67,65,72,87,67,111,89,106,104,102,119,89,89,120,117,111,104,116,139,134,157,157,141,176,169,174,156,172,169,157,203,182,214,167,297,244,252,293,333,375,341,323,307,386,348,345,399,416,615,552,612,489,538,532,555,601,675,692,655,650,813,731,758,872,869,897,940,1129,1481,1242,2058,1304,1155,1260,1214,1425,1266,1228,1565,1954,2316,2738,3103,2821,3199,3637,3724,3740,3868,4127,4446,4525,4478,4624,4692,4777,5017,5136,5294
SwingRLSM,1,ElectricityMarketModel,1.0,100,63,244,445,607,702,1019,1063,1182,1254,1404,1392,1460,1485,1691,1530,1603,1687,1741,1628,1693,1825,1803,1649,1630,1559,1528,1638,1487,1422,1392,1331,1256,1397,1331,1300,1318,1148,1120,1085,1011,1003,1027,961,965,935,871,809,768,829,742,716,662,689,697,628,606,644,611,607,589,549,483,466,504,466,424,409,358,351,342,326,305,266,270,283,284,278,256,242,193,216,214,189,193,185,191,177,159,133,101,123,122,118,134,96,84,86,82,107,95,87,71,72,58,70,50,74,66,63,66,56,58,55,43,61,42,41,47,40,36,44,26,43,44,46,37,24,16,28,26,22,22,19,14,15,15,11,12,20,14,11,19,13,11,7,13,16,14,10,12,13,10,13,12,12,16,18,17,11,12,22,13,22,17,13,12,12,10,9,14,15,12,6,10,5,7,9,4,9,7,11,13,8,10,9,8,9,5,5,7,7,12,10,7,9,11,4,7,7,8,12,9,3,10,8,5,11,6,7,6,3,9,4,6,9,13,13,9,4,11,9,5,8,7,17,18,16,22,23,19,14,14,20,23,25,14,14,15,27,20,28,29,43,26,25,27,37,22,26,27,27,33,41,37,31,27,25,30,39,43,59,50,51,62,89,76,71,87,75,92,86,69,89,106,93,100,95,99,88,153,138,120,135,141,166,118,149,167,165,149,178,143,151,168,219,232,180,187,230,228,209,275,259,255,246,283,259,322,276,354,341,367,392,445,402,421,451,413,483,517,495,478,660,680,662,720,863,687,767,847,795,877,889,934,914,1033,936,906,1235,1196,1507,1538,1501,1504,2004,2424,2604,2935,3085,3477,3372,3414,4072,4076,4375,4536,4519,4587,4575,4748,4993,4999,5165,5248,5382
SwingRLSM,1,ElectricityMarketModel,1.0,100,128,377,486,750,1219,1102,1342,1297,1370,1523,1676,1583,1617,1742,1766,1876,1802,1804,1940,1813,1994,1808,1845,1780,1725,1637,1696,1724,1571,1568,1480,1354,1395,1367,1232,1280,1149,1044,1067,1028,890,999,995,921,884,843,888,870,871,768,774,728,764,718,669,613,670,537,577,530,485,486,444,481,399,389,370,412,357,358,362,318,306,297,273,260,255,244,235,203,204,175,194,176,151,139,164,161,128,155,143,128,118,118,107,115,97,69,84,79,71,76,82,73,63,81,65,75,58,65,49,37,32,48,38,42,46,30,33,31,41,33,32,26,35,31,22,20,23,22,27,22,17,24,26,29,27,20,19,21,22,27,17,17,21,11,9,15,8,12,10,14,9,12,10,18,12,11,19,14,14,8,9,12,10,16,15,10,9,11,12,18,11,11,10,14,11,5,7,3,7,9,8,4,3,9,13,12,6,8,10,3,3,3,9,5,9,6,6,6,7,8,15,11,10,8,13,10,11,9,5,2,5,11,4,4,13,10,10,12,12,10,16,11,11,6,9,10,4,10,14,6,6,10,11,7,14,11,16,18,22,16,20,20,18,25,17,22,28,35,38,35,38,33,38,31,30,34,38,33,40,51,51,48,53,47,39,38,36,42,50,61,71,76,80,58,96,97,93,119,95,170,110,101,89,136,111,112,109,163,164,163,163,179,188,277,193,157,269,209,230,237,256,319,274,270,288,283,331,343,579,375,321,345,459,453,371,598,607,499,622,621,736,685,583,674,822,857,785,677,1016,937,806,916,879,999,1121,989,1553,1134,1485,1398,1574,1710,2009,2055,2463,2464,2837,3555,3569,3595,3736,4113,4055,4021,3977,4093,4477,4411,4404,4606,4693,4962,5163
SwingRLSM,1,ElectricityMarketModel,1.0,100,103,252,444,463,638,899,1054,1067,1162,1258,1396,1428,1467,1492,1668,1630,1686,1674,1756,1601,1669,1711,1629,1617,1629,1487,1518,1516,1432,1365,1308,1428,1386,1241,1192,1087,1141,1091,1023,1007,944,938,941,886,810,849,807,795,794,793,658,710,661,659,627,577,560,568,530,532,519,504,476,471,446,447,423,390,394,318,345,361,300,285,302,246,230,237,195,194,204,199,184,215,181,164,158,145,159,157,141,126,125,123,143,112,95,100,89,89,86,80,68,74,61,68,61,60,53,67,52,47,59,53,55,48,51,30,34,31,29,35,35,23,26,21,19,21,23,29,26,32,35,27,25,27,35,28,25,27,28,27,27,22,30,26,32,21,18,27,19,17,8,20,11,8,17,14,15,18,16,13,13,9,12,23,19,13,11,8,20,13,15,9,11,7,5,11,11,7,19,16,20,15,14,16,10,7,8,7,8,14,11,9,7,18,10,15,17,14,15,7,9,9,9,11,7,8,8,5,10,13,11,12,7,7,12,5,12,11,16,10,16,14,8,7,13,19,13,13,27,18,18,19,17,18,25,16,16,11,16,21,17,17,27,17,32,22,28,26,29,40,35,33,28,40,27,32,52,40,48,44,59,44,38,35,45,35,48,75,55,71,68,63,74,68,90,82,90,87,80,84,114,147,113,131,160,158,147,167,176,188,172,183,147,181,191,216,176,264,333,263,285,293,297,334,334,384,393,364,469,366,354,447,416,466,461,480,495,568,498,552,682,707,758,664,723,722,825,825,1317,1108,1047,929,1231,1088,1264,1168,1418,1238,1419,1795,1603,1563,1648,2359,2608,2904,2853,3028,3672,3437,3784,4163,4623,4596,4484,4700,4744,4799,5108,4764,4909,5142,5396
SwingRLSM,1,ElectricityMarketModel,1.0,100,85,377,487,672,840,1002,1231,1452,1487,1700,1701,1671,1747,1791,1743,1756,1786,1829,1849,1775,1863,1825,1747,1760,1736,1672,1716,1487,1576,1437,1428,1400,1341,1293,1215,1171,1217,1153,1116,1123,998,952,893,900,846,824,819,716,715,661,664,586,553,645,585,505,551,505,505,491,448,420,453,398,405,415,384,387,359,330,300,325,295,286,287,259,236,230,223,208,200,191,200,184,159,167,150,159,176,160,147,147,123,123,117,126,107,81,74,108,82,72,76,70,72,89,71,75,65,61,50,77,61,59,56,47,37,41,54,49,37,34,39,30,33,36,38,32,27,26,36,26,17,19,20,19,22,25,23,30,18,14,14,24,16,16,17,15,11,14,9,16,20,16,10,7,15,16,16,9,14,5,8,5,8,15,12,22,9,13,11,16,13,9,7,2,7,7,10,3,7,9,5,7,10,14,15,16,10,12,8,13,3,9,18,6,13,13,12,15,6,5,6,13,7,7,9,15,19,14,17,14,10,13,10,19,15,17,16,18,17,17,12,12,8,15,15,18,18,13,13,21,20,13,23,34,21,21,17,20,23,16,22,16,20,17,29,23,26,24,39,32,37,42,16,24,26,36,52,40,47,48,52,60,58,66,70,72,71,77,92,78,93,87,96,82,89,139,150,120,167,125,147,151,153,151,140,223,118,150,180,150,141,164,192,175,178,178,214,227,220,237,243,291,275,349,287,403,295,303,328,339,385,450,641,425,489,523,552,483,734,703,601,605,714,597,692,639,632,769,811,861,850,998,922,1095,1112,1211,1391,1263,1402,1401,1590,1701,1781,2307,2270,2730,2902,3088,3562,3804,3717,3910,3940,4127,4264,4318,4422,4602,4779,4853,4866,5180,5382
