algo,model,payoff,drift,volatility,mean,speed,correlation,hurst,nb_stocks,nb_paths,nb_dates,spot,strike,dividend,maturity,nb_epochs,hidden_size,factors,ridge_coeff,use_payoff_as_input,train_ITM_only,use_path,use_var,price,duration,time_path_gen,comp_time,delta,gamma,theta,rho,vega,greeks_method,rate,alpha,sigma,beta,lam,x0,y0,dist_par,f_level,f_amp,f_period,num_swings,exercise_dates,price_upper_bound

SwingLSM,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,30,100,1.0,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,False,1656.915511754288,2.278876304626465,0.7073354721069336,1.5715408325195312,,,,,,central,0.02,7.0,1.4,200.0,1.0,0.0,0.0,0.4,100.0,0.5,1.0,10,,

SwingLSM,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,30,100,1.0,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,False,1660.5455722979086,3.139340400695801,1.295732021331787,1.8436083793640137,,,,,,central,0.02,7.0,1.4,200.0,2.0,0.0,0.0,0.4,100.0,0.5,1.0,10,,

SwingLSM,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,30,100,1.0,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,False,1664.3213105254108,3.838683605194092,1.7874410152435303,2.0512425899505615,,,,,,central,0.02,7.0,1.4,200.0,3.0,0.0,0.0,0.4,100.0,0.5,1.0,10,,

SwingLSM,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,30,100,1.0,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,False,1667.5701716496715,4.522520065307617,2.1879677772521973,2.33455228805542,,,,,,central,0.02,7.0,1.4,200.0,4.0,0.0,0.0,0.4,100.0,0.5,1.0,10,,

SwingLSM,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,30,100,1.0,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,False,1673.7260515898374,5.554105997085571,2.7157223224639893,2.838383674621582,,,,,,central,0.02,7.0,1.4,200.0,5.0,0.0,0.0,0.4,100.0,0.5,1.0,10,,

SwingLSM,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,30,100,1.0,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,False,1678.668279381163,6.238113164901733,3.1815783977508545,3.056534767150879,,,,,,central,0.02,7.0,1.4,200.0,6.0,0.0,0.0,0.4,100.0,0.5,1.0,10,,

SwingLSM,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,30,100,1.0,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,False,1689.5262701711706,7.173051357269287,3.5538883209228516,3.6191630363464355,,,,,,central,0.02,7.0,1.4,200.0,7.0,0.0,0.0,0.4,100.0,0.5,1.0,10,,

SwingLSM,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,30,100,1.0,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,False,1698.5205680974866,7.675405263900757,4.139689683914185,3.5357155799865723,,,,,,central,0.02,7.0,1.4,200.0,8.0,0.0,0.0,0.4,100.0,0.5,1.0,10,,

SwingLSM,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,30,100,1.0,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,False,1704.79298698998,8.087638854980469,4.569981575012207,3.5176572799682617,,,,,,central,0.02,7.0,1.4,200.0,9.0,0.0,0.0,0.4,100.0,0.5,1.0,10,,

SwingLSM,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,30,100,1.0,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,False,1706.4239051808565,8.410691976547241,4.812211036682129,3.5984809398651123,,,,,,central,0.02,7.0,1.4,200.0,10.0,0.0,0.0,0.4,100.0,0.5,1.0,10,,

SwingRLSM,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,30,100,1.0,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,False,1646.2848769002028,21.277425289154053,0.6978495121002197,20.579575777053833,,,,,,central,0.02,7.0,1.4,200.0,1.0,0.0,0.0,0.4,100.0,0.5,1.0,10,,

SwingRLSM,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,30,100,1.0,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,False,1666.1348287837989,24.020209312438965,1.4147799015045166,22.60542941093445,,,,,,central,0.02,7.0,1.4,200.0,2.0,0.0,0.0,0.4,100.0,0.5,1.0,10,,

SwingRLSM,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,30,100,1.0,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,False,1665.3176984092006,25.149545669555664,2.081383228302002,23.068162441253662,,,,,,central,0.02,7.0,1.4,200.0,3.0,0.0,0.0,0.4,100.0,0.5,1.0,10,,

SwingRLSM,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,30,100,1.0,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,False,1669.7251942332402,25.52811551094055,2.810429096221924,22.717686414718628,,,,,,central,0.02,7.0,1.4,200.0,4.0,0.0,0.0,0.4,100.0,0.5,1.0,10,,

SwingRLSM,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,30,100,1.0,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,False,1679.1304744160657,26.312394618988037,3.1569576263427734,23.155436992645264,,,,,,central,0.02,7.0,1.4,200.0,5.0,0.0,0.0,0.4,100.0,0.5,1.0,10,,

SwingRLSM,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,30,100,1.0,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,False,1678.6508532467667,26.667279720306396,3.5520474910736084,23.115232229232788,,,,,,central,0.02,7.0,1.4,200.0,6.0,0.0,0.0,0.4,100.0,0.5,1.0,10,,

SwingRLSM,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,30,100,1.0,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,False,1682.772220199343,26.583570957183838,3.789447546005249,22.79412341117859,,,,,,central,0.02,7.0,1.4,200.0,7.0,0.0,0.0,0.4,100.0,0.5,1.0,10,,

