algorithm,num_dim,model_name,strike,spot,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
SwingLSM,1,ElectricityMarketModel,1.0,100,9109,8153,7267,6050,4527,3203,1944,1087,634,382,226,156,87,67,74,49,39,62,95,193,350,922,2024,3791,5844,7513,8675,9138,9322,9017
SwingLSM,1,ElectricityMarketModel,1.0,100,9108,8180,7292,6085,4723,3299,2120,1234,656,388,218,123,113,81,60,56,45,62,112,191,409,914,2056,3796,5621,7424,8411,9020,9184,9019
SwingLSM,1,ElectricityMarketModel,1.0,100,8957,8076,7259,6038,4607,3232,2016,1154,719,412,261,162,124,101,79,71,96,86,89,182,381,990,2066,3718,5944,7365,8539,9083,9200,8993
SwingLSM,1,ElectricityMarketModel,1.0,100,8965,8145,7268,5965,4457,3123,1961,1190,683,415,255,179,115,98,88,60,73,91,99,176,380,932,2087,3784,5790,7487,8608,9150,9246,9130
SwingLSM,1,ElectricityMarketModel,1.0,100,8908,8115,7200,6121,4648,3247,2054,1222,662,408,266,158,121,104,84,81,66,80,111,193,374,958,2071,3782,5861,7146,8722,8959,9224,9054
SwingLSM,1,ElectricityMarketModel,1.0,100,8820,8129,7201,5979,4485,3144,1970,1231,697,392,260,172,111,95,73,67,84,89,122,192,394,1031,2097,3929,5710,7477,8554,9224,9177,9094
SwingLSM,1,ElectricityMarketModel,1.0,100,8902,8076,7145,5799,4514,3183,2063,1228,723,443,263,177,125,109,90,95,124,119,132,203,395,906,2000,3865,5819,7572,8605,9074,9160,9091
SwingLSM,1,ElectricityMarketModel,1.0,100,8779,8114,7226,6015,4617,3202,2038,1292,731,398,257,176,134,103,102,110,111,135,163,223,501,1032,2078,3909,5765,7467,8367,9017,9053,8885
SwingLSM,1,ElectricityMarketModel,1.0,100,8808,8007,7103,6104,4605,3231,1993,1200,703,443,254,160,126,106,100,108,88,106,144,255,469,983,2139,3825,6011,7348,8519,8951,9038,9073
SwingLSM,1,ElectricityMarketModel,1.0,100,8874,7991,7182,5951,4605,3171,2105,1183,721,392,263,209,118,134,106,87,92,122,152,221,421,1062,2123,3760,5784,7546,8425,9093,9145,8962
SwingRLSM,1,ElectricityMarketModel,1.0,100,9096,8190,7283,6070,4699,3118,2103,1146,621,345,180,161,87,63,64,63,65,85,158,173,392,937,2012,3648,5719,7463,8548,9126,9302,9083
SwingRLSM,1,ElectricityMarketModel,1.0,100,9098,8268,7386,6221,4767,3233,1951,1194,686,371,219,131,126,80,68,71,101,92,151,154,358,869,2039,3746,5700,7340,8455,9041,9130,8954
SwingRLSM,1,ElectricityMarketModel,1.0,100,9062,8165,7291,6144,4667,3158,2029,1256,688,365,210,153,84,81,101,68,71,119,121,241,410,973,2072,3718,5674,7369,8459,9032,9210,9009
SwingRLSM,1,ElectricityMarketModel,1.0,100,8918,7926,7123,5967,4639,3271,2161,1217,675,387,265,174,128,82,72,77,93,96,146,208,420,1056,2165,3880,5979,7221,8425,9010,9209,9010
SwingRLSM,1,ElectricityMarketModel,1.0,100,9027,8105,7188,5991,4750,3188,2016,1205,658,402,230,163,107,86,68,85,65,107,119,218,408,978,2039,3767,5643,7486,8478,9061,9236,9126
SwingRLSM,1,ElectricityMarketModel,1.0,100,8983,8234,7217,6076,4728,3359,2022,1112,681,326,220,166,121,106,88,90,101,111,142,288,461,990,2196,3621,5585,7425,8376,8996,9174,9005
SwingRLSM,1,ElectricityMarketModel,1.0,100,8978,8113,7191,6099,4674,3276,1961,1188,689,407,222,187,117,112,76,92,132,129,159,247,501,972,2156,3658,5659,7481,8491,8979,9122,8932
SwingRLSM,1,ElectricityMarketModel,1.0,100,8867,8142,7217,6146,4644,3313,1946,1192,680,426,290,185,127,107,81,88,115,127,181,257,448,1014,2123,3828,5820,7209,8370,8949,9147,8961
SwingRLSM,1,ElectricityMarketModel,1.0,100,8985,8103,7239,6020,4573,3096,1990,1295,732,443,256,184,136,99,111,73,108,122,160,246,395,961,2188,3761,5677,7478,8369,9016,9144,9040
SwingRLSM,1,ElectricityMarketModel,1.0,100,8929,7962,7205,6069,4725,3169,2086,1220,696,413,279,164,124,89,79,88,109,127,198,283,489,1046,2177,3911,5513,7316,8520,8953,9142,8919
